#DateTime          Unixtime(UTC)   Abnormal_Large Probability[0-1]   Abnormal_Small Probability[0-1]   Abnormal State(Abnormal_Large=2, Abnormal_Small=1, Normal=0)
20220914_060000        1663135200           0.342                          0.346                            1
20220914_120000        1663156800           0.342                          0.346                            1
20220914_180000        1663178400           0.342                          0.346                            1
20220915_000000        1663200000           0.342                          0.346                            1
20220915_060000        1663221600           0.342                          0.346                            1
20220915_120000        1663243200           0.342                          0.346                            1
20220915_180000        1663264800           0.342                          0.346                            1
20220916_000000        1663286400           0.342                          0.346                            1
20220916_060000        1663308000           0.342                          0.346                            1
20220916_120000        1663329600           0.342                          0.346                            1
20220916_180000        1663351200           0.342                          0.346                            1
20220917_000000        1663372800           0.342                          0.346                            1
20220917_060000        1663394400           0.342                          0.346                            1
20220917_120000        1663416000           0.342                          0.346                            1
20220917_180000        1663437600           0.342                          0.346                            1
20220918_000000        1663459200           0.342                          0.346                            1
20220918_060000        1663480800           0.342                          0.346                            1
20220918_120000        1663502400           0.342                          0.346                            1
20220918_180000        1663524000           0.342                          0.346                            1
20220919_000000        1663545600           0.342                          0.346                            1
20220919_060000        1663567200           0.342                          0.346                            1
20220919_120000        1663588800           0.342                          0.346                            1
20220919_180000        1663610400           0.342                          0.346                            1
20220920_000000        1663632000           0.342                          0.346                            1
20220920_060000        1663653600           0.342                          0.346                            1
20220920_120000        1663675200           0.342                          0.346                            1
20220920_180000        1663696800           0.342                          0.346                            1
20220921_000000        1663718400           0.342                          0.346                            1
20220921_060000        1663740000           0.342                          0.346                            1
20220921_120000        1663761600           0.342                          0.346                            1
20220921_180000        1663783200           0.342                          0.346                            1
20220922_000000        1663804800           0.342                          0.346                            1
20220922_060000        1663826400           0.342                          0.346                            1
20220922_120000        1663848000           0.342                          0.346                            1
20220922_180000        1663869600           0.342                          0.346                            1
20220923_000000        1663891200           0.342                          0.346                            1
20220923_060000        1663912800           0.342                          0.346                            1
20220923_120000        1663934400           0.342                          0.346                            1
20220923_180000        1663956000           0.342                          0.346                            1
20220924_000000        1663977600           0.342                          0.346                            1
20220924_060000        1663999200           0.342                          0.346                            1
20220924_120000        1664020800           0.342                          0.346                            1
20220924_180000        1664042400           0.342                          0.346                            1
20220925_000000        1664064000           0.342                          0.346                            1
20220925_060000        1664085600           0.342                          0.346                            1
20220925_120000        1664107200           0.342                          0.346                            1
20220925_180000        1664128800           0.342                          0.346                            1
20220926_000000        1664150400           0.342                          0.346                            1
20220926_060000        1664172000           0.342                          0.346                            1
20220926_120000        1664193600           0.342                          0.346                            1
20220926_180000        1664215200           0.342                          0.346                            1
20220927_000000        1664236800           0.342                          0.346                            1
20220927_060000        1664258400           0.342                          0.346                            1
20220927_120000        1664280000           0.342                          0.346                            1
20220927_180000        1664301600           0.342                          0.346                            1
20220928_000000        1664323200           0.342                          0.346                            1
20220928_060000        1664344800           0.342                          0.346                            1
20220928_120000        1664366400           0.342                          0.346                            1
20220928_180000        1664388000           0.342                          0.346                            1
20220929_000000        1664409600           0.342                          0.346                            1
20220929_060000        1664431200           0.342                          0.346                            1
20220929_120000        1664452800           0.342                          0.346                            1
20220929_180000        1664474400           0.342                          0.346                            1
20220930_000000        1664496000           0.342                          0.346                            1
20220930_060000        1664517600           0.342                          0.346                            1
20220930_120000        1664539200           0.342                          0.346                            1
20220930_180000        1664560800           0.342                          0.346                            1
20221001_000000        1664582400           0.342                          0.346                            1
20221001_060000        1664604000           0.342                          0.346                            1
20221001_120000        1664625600           0.342                          0.346                            1
20221001_180000        1664647200           0.342                          0.346                            1
20221002_000000        1664668800           0.342                          0.346                            1
20221002_060000        1664690400           0.342                          0.346                            1
20221002_120000        1664712000           0.342                          0.346                            1
20221002_180000        1664733600           0.342                          0.346                            1
20221003_000000        1664755200           0.342                          0.346                            1
20221003_060000        1664776800           0.342                          0.346                            1
20221003_120000        1664798400           0.342                          0.346                            1
20221003_180000        1664820000           0.342                          0.346                            1
20221004_000000        1664841600           0.342                          0.346                            1
20221004_060000        1664863200           0.342                          0.346                            1
20221004_120000        1664884800           0.342                          0.346                            1
20221004_180000        1664906400           0.342                          0.346                            1
20221005_000000        1664928000           0.342                          0.346                            1
20221005_060000        1664949600           0.342                          0.346                            1
20221005_120000        1664971200           0.342                          0.346                            1
20221005_180000        1664992800           0.342                          0.346                            1
20221006_000000        1665014400           0.342                          0.346                            1
20221006_060000        1665036000           0.342                          0.346                            1
20221006_120000        1665057600           0.342                          0.346                            1
20221006_180000        1665079200           0.342                          0.346                            1
20221007_000000        1665100800           0.342                          0.346                            1
20221007_060000        1665122400           0.342                          0.346                            1
20221007_120000        1665144000           0.342                          0.346                            1
20221007_180000        1665165600           0.342                          0.346                            1
20221008_000000        1665187200           0.342                          0.346                            1
20221008_060000        1665208800           0.342                          0.346                            1
20221008_120000        1665230400           0.342                          0.346                            1
20221008_180000        1665252000           0.342                          0.346                            1
20221009_000000        1665273600           0.342                          0.346                            1
20221009_060000        1665295200           0.342                          0.346                            1
20221009_120000        1665316800           0.342                          0.346                            1
20221009_180000        1665338400           0.342                          0.346                            1
20221010_000000        1665360000           0.342                          0.346                            1
20221010_060000        1665381600           0.342                          0.346                            1
20221010_120000        1665403200           0.342                          0.346                            1
20221010_180000        1665424800           0.342                          0.346                            1
20221011_000000        1665446400           0.342                          0.346                            1
20221011_060000        1665468000           0.342                          0.346                            1
20221011_120000        1665489600           0.342                          0.346                            1
20221011_180000        1665511200           0.342                          0.346                            1
20221012_000000        1665532800           0.342                          0.346                            1
20221012_060000        1665554400           0.342                          0.346                            1
20221012_120000        1665576000           0.342                          0.346                            1
20221012_180000        1665597600           0.342                          0.346                            1
20221013_000000        1665619200           0.342                          0.346                            1
20221013_060000        1665640800           0.342                          0.346                            1
20221013_120000        1665662400           0.342                          0.346                            1
20221013_180000        1665684000           0.342                          0.346                            1
20221014_000000        1665705600           0.342                          0.346                            1
20221014_060000        1665727200           0.342                          0.346                            1
20221014_120000        1665748800           0.342                          0.346                            1
20221014_180000        1665770400           0.342                          0.346                            1
20221015_000000        1665792000           0.342                          0.346                            1
20221015_060000        1665813600           0.342                          0.346                            1
20221015_120000        1665835200           0.342                          0.346                            1
20221015_180000        1665856800           0.342                          0.346                            1
20221016_000000        1665878400           0.342                          0.346                            1
20221016_060000        1665900000           0.342                          0.346                            1
20221016_120000        1665921600           0.342                          0.346                            1
20221016_180000        1665943200           0.342                          0.346                            1
20221017_000000        1665964800           0.342                          0.346                            1
20221017_060000        1665986400           0.342                          0.346                            1
20221017_120000        1666008000           0.342                          0.346                            1
20221017_180000        1666029600           0.342                          0.346                            1
20221018_000000        1666051200           0.342                          0.346                            1
20221018_060000        1666072800           0.342                          0.346                            1
20221018_120000        1666094400           0.342                          0.346                            1
20221018_180000        1666116000           0.342                          0.346                            1
20221019_000000        1666137600           0.342                          0.346                            1
20221019_060000        1666159200           0.342                          0.346                            1
20221019_120000        1666180800           0.342                          0.346                            1
20221019_180000        1666202400           0.342                          0.346                            1
20221020_000000        1666224000           0.342                          0.346                            1
20221020_060000        1666245600           0.342                          0.346                            1
20221020_120000        1666267200           0.342                          0.346                            1
20221020_180000        1666288800           0.342                          0.346                            1
20221021_000000        1666310400           0.342                          0.346                            1
20221021_060000        1666332000           0.342                          0.346                            1
20221021_120000        1666353600           0.342                          0.346                            1
20221021_180000        1666375200           0.342                          0.346                            1
20221022_000000        1666396800           0.342                          0.346                            1
20221022_060000        1666418400           0.342                          0.346                            1
20221022_120000        1666440000           0.342                          0.346                            1
20221022_180000        1666461600           0.342                          0.346                            1
20221023_000000        1666483200           0.342                          0.346                            1
20221023_060000        1666504800           0.342                          0.346                            1
20221023_120000        1666526400           0.342                          0.346                            1
20221023_180000        1666548000           0.342                          0.346                            1
20221024_000000        1666569600           0.342                          0.346                            1
20221024_060000        1666591200           0.342                          0.346                            1
20221024_120000        1666612800           0.342                          0.346                            1
20221024_180000        1666634400           0.342                          0.346                            1
20221025_000000        1666656000           0.342                          0.346                            1
20221025_060000        1666677600           0.342                          0.346                            1
20221025_120000        1666699200           0.342                          0.346                            1
20221025_180000        1666720800           0.342                          0.346                            1
20221026_000000        1666742400           0.342                          0.346                            1
20221026_060000        1666764000           0.342                          0.346                            1
20221026_120000        1666785600           0.342                          0.346                            1
20221026_180000        1666807200           0.342                          0.346                            1
20221027_000000        1666828800           0.342                          0.346                            1
20221027_060000        1666850400           0.342                          0.346                            1
20221027_120000        1666872000           0.342                          0.346                            1
20221027_180000        1666893600           0.342                          0.346                            1
20221028_000000        1666915200           0.342                          0.346                            1
20221028_060000        1666936800           0.342                          0.346                            1
20221028_120000        1666958400           0.342                          0.346                            1
20221028_180000        1666980000           0.342                          0.346                            1
20221029_000000        1667001600           0.342                          0.346                            1
20221029_060000        1667023200           0.342                          0.346                            1
20221029_120000        1667044800           0.342                          0.346                            1
20221029_180000        1667066400           0.342                          0.346                            1
20221030_000000        1667088000           0.342                          0.346                            1
20221030_060000        1667109600           0.342                          0.346                            1
20221030_120000        1667131200           0.342                          0.346                            1
20221030_180000        1667152800           0.342                          0.346                            1
20221031_000000        1667174400           0.342                          0.346                            1
20221031_060000        1667196000           0.342                          0.346                            1
20221031_120000        1667217600           0.342                          0.346                            1
20221031_180000        1667239200           0.342                          0.346                            1
20221101_000000        1667260800           0.342                          0.346                            1
20221101_060000        1667282400           0.342                          0.346                            1
20221101_120000        1667304000           0.342                          0.346                            1
20221101_180000        1667325600           0.342                          0.346                            1
20221102_000000        1667347200           0.342                          0.346                            1
20221102_060000        1667368800           0.342                          0.346                            1
20221102_120000        1667390400           0.342                          0.346                            1
20221102_180000        1667412000           0.342                          0.346                            1
20221103_000000        1667433600           0.342                          0.346                            1
20221103_060000        1667455200           0.342                          0.346                            1
20221103_120000        1667476800           0.342                          0.346                            1
20221103_180000        1667498400           0.342                          0.346                            1
20221104_000000        1667520000           0.342                          0.346                            1
20221104_060000        1667541600           0.342                          0.346                            1
20221104_120000        1667563200           0.342                          0.346                            1
20221104_180000        1667584800           0.342                          0.346                            1
20221105_000000        1667606400           0.342                          0.346                            1
20221105_060000        1667628000           0.342                          0.346                            1
20221105_120000        1667649600           0.342                          0.346                            1
20221105_180000        1667671200           0.342                          0.346                            1
20221106_000000        1667692800           0.342                          0.346                            1
20221106_060000        1667714400           0.342                          0.346                            1
20221106_120000        1667736000           0.342                          0.346                            1
20221106_180000        1667757600           0.342                          0.346                            1
20221107_000000        1667779200           0.342                          0.346                            1
20221107_060000        1667800800           0.342                          0.346                            1
20221107_120000        1667822400           0.342                          0.346                            1
20221107_180000        1667844000           0.342                          0.346                            1
20221108_000000        1667865600           0.342                          0.346                            1
20221108_060000        1667887200           0.342                          0.346                            1
20221108_120000        1667908800           0.342                          0.346                            1
20221108_180000        1667930400           0.342                          0.346                            1
20221109_000000        1667952000           0.342                          0.346                            1
20221109_060000        1667973600           0.342                          0.346                            1
